,County Code,County Name,Const Code,Constituency,CAW Code,CAW Name,Registered Voters
0,1,MOMBASA,1,CHANGAMWE,1,PORT REITZ,17817
1,1,MOMBASA,1,CHANGAMWE,2,KIPEVU,16132
2,1,MOMBASA,1,CHANGAMWE,3,AIRPORT,18557
3,1,MOMBASA,1,CHANGAMWE,4,CHANGAMWE,18182
4,1,MOMBASA,1,CHANGAMWE,5,CHAANI,22873
5,1,MOMBASA,2,JOMVU,6,JOMVU KUU,24243
6,1,MOMBASA,2,JOMVU,7,MIRITINI,18048
7,1,MOMBASA,2,JOMVU,8,MIKINDANI,32794
8,1,MOMBASA,3,KISAUNI,9,MJAMBERE,22692
9,1,MOMBASA,3,KISAUNI,10,JUNDA,25602
10,1,MOMBASA,3,KISAUNI,11,BAMBURI,20470
11,1,MOMBASA,3,KISAUNI,12,MWAKIRUNGE,6423
12,1,MOMBASA,3,KISAUNI,13,MTOPANGA,19474
13,1,MOMBASA,3,KISAUNI,14,MAGOGONI,15105
14,1,MOMBASA,3,KISAUNI,15,SHANZU,25510
15,1,MOMBASA,4,NYALI,16,FRERE TOWN,24849
16,1,MOMBASA,4,NYALI,17,ZIWA LA NG'OMBE,23296
17,1,MOMBASA,4,NYALI,18,MKOMANI,24154
18,1,MOMBASA,4,NYALI,19,KONGOWEA,28846
19,1,MOMBASA,4,NYALI,20,KADZANDANI,23108
20,1,MOMBASA,5,LIKONI,21,MTONGWE,13937
21,1,MOMBASA,5,LIKONI,22,SHIKA ADABU,15437
22,1,MOMBASA,5,LIKONI,23,BOFU,18188
23,1,MOMBASA,5,LIKONI,24,LIKONI,13273
24,1,MOMBASA,5,LIKONI,25,TIMBWANI,33929
25,1,MOMBASA,6,MVITA,26,MJI WA KALE/MAKADARA,22341
26,1,MOMBASA,6,MVITA,27,TUDOR,22926
27,1,MOMBASA,6,MVITA,28,TONONOKA,23379
28,1,MOMBASA,6,MVITA,29,SHIMANZI/GANJONI,18556
29,1,MOMBASA,6,MVITA,30,MAJENGO,31772
30,2,KWALE,7,MSAMBWENI,31,GOMBATO BONGWE,20551
31,2,KWALE,7,MSAMBWENI,32,UKUNDA,24331
32,2,KWALE,7,MSAMBWENI,33,KINONDO,13463
33,2,KWALE,7,MSAMBWENI,34,RAMISI,23916
34,2,KWALE,8,LUNGALUNGA,35,PONGWE/KIKONENI,18833
35,2,KWALE,8,LUNGALUNGA,36,DZOMBO,14688
36,2,KWALE,8,LUNGALUNGA,37,MWERENI,15589
37,2,KWALE,8,LUNGALUNGA,38,VANGA,15744
38,2,KWALE,9,MATUGA,39,TSIMBA GOLINI,20453
39,2,KWALE,9,MATUGA,40,WAA,20681
40,2,KWALE,9,MATUGA,41,TIWI,11016
41,2,KWALE,9,MATUGA,42,KUBO SOUTH,12087
